Period,Payment,Channel,Dest Zone,Remarks,Count,State,Country
Feb W1,COD,APP,EAST,Verified Orders,41387,ORISSA,India
Feb W1,COD,APP,EAST,Verified Orders,42652,ORISSA,India
Feb W1,COD,APP,EAST,Verified Orders,38427,WEST BENGAL,India
Feb W1,COD,APP,EAST,Verified Orders,37933,WEST BENGAL,India
Feb W1,COD,APP,METRO,Verified Orders,59200,DELHI,India
Feb W1,COD,APP,METRO,Verified Orders,120188,DELHI,India
Feb W1,COD,M-Site,METRO,Verified Orders,8237,GUJARAT,India
Feb W1,COD,M-Site,METRO,Verified Orders,9593,GUJARAT,India
Feb W1,COD,M-Site,METRO,Verified Orders,8238,HARYANA,India
Feb W1,COD,M-Site,METRO,Verified Orders,9014,KARNATAKA,India
Feb W1,COD,M-Site,METRO,Verified Orders,13354,MAHARASHTRA,India
Feb W1,COD,M-Site,METRO,Verified Orders,24197,TAMIL NADU,India
Feb W1,COD,PC,METRO,Verified Orders,6820,TELANGANA,India
Feb W1,COD,PC,NE,Verified Orders,10307,ARUNACHAL PRADESH,India
Feb W1,COD,PC,NE,Verified Orders,4011,ARUNACHAL PRADESH,India
Feb W1,COD,PC,NE,Verified Orders,7634,ASSAM,India
Feb W1,COD,PC,NE,Verified Orders,9434,ASSAM,India
Feb W1,COD,PC,NE,Verified Orders,14671,MEGHALAYA,India
Feb W1,STD,APP,NE,Verified Orders,10652,MIZORAM,India
Feb W1,STD,APP,NE,Verified Orders,31252,MIZORAM,India
Feb W1,STD,APP,NE,Verified Orders,5178,NAGALAND,India
Feb W1,STD,APP,NE,Verified Orders,19827,NAGALAND,India
Feb W1,STD,APP,NE,Verified Orders,17830,SIKKIM,India
Feb W1,STD,APP,NE,Verified Orders,32354,TRIPURA,India
Feb W1,STD,M-Site,NE,Verified Orders,1668,TRIPURA,India
Feb W1,STD,M-Site,TIER 1,Verified Orders,5908,ANDHRA PRADESH,India
Feb W1,STD,M-Site,TIER 1,Verified Orders,1057,GUJARAT,India
Feb W1,STD,M-Site,TIER 1,Verified Orders,3542,GUJARAT,India
Feb W1,STD,M-Site,TIER 1,Verified Orders,3232,KARNATAKA,India
Feb W1,STD,M-Site,TIER 1,Verified Orders,5530,MADHYA PRADESH,India
Feb W1,STD,PC,TIER 1,Verified Orders,4533,MAHARASHTRA,India
Feb W1,STD,PC,TIER 1,Verified Orders,19946,PUNJAB,India
Feb W1,STD,PC,TIER 1,Verified Orders,1560,PUNJAB,India
Feb W1,STD,PC,TIER 1,Verified Orders,10283,RAJASTHAN,India
Feb W1,STD,PC,TIER 1,Verified Orders,7179,RAJASTHAN,India
Feb W1,STD,PC,TIER 1,Verified Orders,10783,TAMIL NADU,India
Feb W2,COD,APP,TIER 2,Verified Orders,35635,ANDHRA PRADESH,India
Feb W2,COD,APP,TIER 2,Verified Orders,35240,BIHAR,India
Feb W2,COD,APP,TIER 2,Verified Orders,34962,GUJARAT,India
Feb W2,COD,APP,TIER 2,Verified Orders,30985,GUJARAT,India
Feb W2,COD,APP,TIER 2,Verified Orders,48689,HARYANA,India
Feb W2,COD,APP,TIER 2,Verified Orders,112703,HIMACHAL PRADESH,India
Feb W2,COD,M-Site,TIER 2,Verified Orders,7071,HIMACHAL PRADESH,India
Feb W2,COD,M-Site,TIER 2,Verified Orders,8183,JHARKHAND,India
Feb W2,COD,M-Site,TIER 2,Verified Orders,7135,KARNATAKA,India
Feb W2,COD,M-Site,TIER 2,Verified Orders,7469,MADHYA PRADESH,India
Feb W2,COD,M-Site,TIER 2,Verified Orders,10724,MADHYA PRADESH,India
Feb W2,COD,M-Site,TIER 2,Verified Orders,23752,MAHARASHTRA,India
Feb W2,COD,PC,TIER 2,Verified Orders,6240,MAHARASHTRA,India
Feb W2,COD,PC,TIER 2,Verified Orders,8697,MAHARASHTRA,India
Feb W2,COD,PC,TIER 2,Verified Orders,3588,PUNJAB,India
Feb W2,COD,PC,TIER 2,Verified Orders,6262,PUNJAB,India
Feb W2,COD,PC,TIER 2,Verified Orders,7397,RAJASTHAN,India
Feb W2,COD,PC,TIER 2,Verified Orders,12722,RAJASTHAN,India
Feb W2,STD,APP,TIER 2,Verified Orders,10828,TAMIL NADU,India
Feb W2,STD,APP,TIER 2,Verified Orders,28450,TAMIL NADU,India
Feb W2,STD,APP,TIER 2,Verified Orders,5299,UTTARAKHAND,India
Feb W2,STD,APP,TIER 3,Verified Orders,18456,ANDHRA PRADESH,India
Feb W2,STD,APP,TIER 3,Verified Orders,17369,ANDHRA PRADESH,India
Feb W2,STD,APP,TIER 3,Verified Orders,31624,BIHAR,India
Feb W2,STD,M-Site,TIER 3,Verified Orders,1626,BIHAR,India
Feb W2,STD,M-Site,TIER 3,Verified Orders,4684,CHHATTISGARH,India
Feb W2,STD,M-Site,TIER 3,Verified Orders,1028,GUJARAT,India
Feb W2,STD,M-Site,TIER 3,Verified Orders,3135,GUJARAT,India
Feb W2,STD,M-Site,TIER 3,Verified Orders,2996,HARYANA,India
Feb W2,STD,M-Site,TIER 3,Verified Orders,5297,HIMACHAL PRADESH,India
Feb W2,STD,PC,TIER 3,Verified Orders,4712,HIMACHAL PRADESH,India
Feb W2,STD,PC,TIER 3,Verified Orders,17820,JAMMU & KASHMIR,India
Feb W2,STD,PC,TIER 3,Verified Orders,1523,JAMMU & KASHMIR,India
Feb W2,STD,PC,TIER 3,Verified Orders,9417,JHARKHAND,India
Feb W2,STD,PC,TIER 3,Verified Orders,6822,KARNATAKA,India
Feb W2,STD,PC,TIER 3,Verified Orders,9869,KARNATAKA,India
Feb W3,COD,APP,TIER 3,Verified Orders,31255,MADHYA PRADESH,India
Feb W3,COD,APP,TIER 3,Verified Orders,29343,MADHYA PRADESH,India
Feb W3,COD,APP,TIER 3,Verified Orders,31759,MAHARASHTRA,India
Feb W3,COD,APP,TIER 3,Verified Orders,27990,MAHARASHTRA,India
Feb W3,COD,APP,TIER 3,Verified Orders,43001,MAHARASHTRA,India
Feb W3,COD,APP,TIER 3,Verified Orders,102669,PUNJAB,India
Feb W3,COD,M-Site,TIER 3,Verified Orders,6430,PUNJAB,India
Feb W3,COD,M-Site,TIER 3,Verified Orders,7467,RAJASTHAN,India
Feb W3,COD,M-Site,TIER 3,Verified Orders,6807,RAJASTHAN,India
Feb W3,COD,M-Site,TIER 3,Verified Orders,6755,TAMIL NADU,India
Feb W3,COD,M-Site,TIER 3,Verified Orders,10076,TAMIL NADU,India
Feb W3,COD,M-Site,TIER 3,Verified Orders,21865,TELANGANA,India
Feb W3,COD,PC,TIER 3,Verified Orders,5590,UTTAR PRADESH,India
Feb W3,COD,PC,TIER 3,Verified Orders,7670,UTTAR PRADESH,India
Feb W3,COD,PC,EAST,Verified Orders,3556,ORISSA,India
Feb W3,COD,PC,EAST,Verified Orders,5884,ORISSA,India
Feb W3,COD,PC,EAST,Verified Orders,6951,WEST BENGAL,India
Feb W3,COD,PC,EAST,Verified Orders,12297,WEST BENGAL,India
Feb W3,STD,APP,METRO,Verified Orders,9445,DELHI,India
Feb W3,STD,APP,METRO,Verified Orders,24182,GUJARAT,India
Feb W3,STD,APP,METRO,Verified Orders,5171,GUJARAT,India
Feb W3,STD,APP,METRO,Verified Orders,16215,HARYANA,India
Feb W3,STD,APP,METRO,Verified Orders,15171,KARNATAKA,India
Feb W3,STD,APP,METRO,Verified Orders,28740,KARNATAKA,India
Feb W3,STD,M-Site,METRO,Verified Orders,1537,MAHARASHTRA,India
Feb W3,STD,M-Site,METRO,Verified Orders,4678,TAMIL NADU,India
Feb W3,STD,M-Site,NE,Verified Orders,900,ARUNACHAL PRADESH,India
Feb W3,STD,M-Site,NE,Verified Orders,2818,ARUNACHAL PRADESH,India
Feb W3,STD,M-Site,NE,Verified Orders,2800,ASSAM,India
Feb W3,STD,M-Site,NE,Verified Orders,5080,ASSAM,India
Feb W3,STD,PC,NE,Verified Orders,3954,MIZORAM,India
Feb W3,STD,PC,NE,Verified Orders,16884,MIZORAM,India
Feb W3,STD,PC,NE,Verified Orders,1402,NAGALAND,India
Feb W3,STD,PC,NE,Verified Orders,8515,NAGALAND,India
Feb W3,STD,PC,NE,Verified Orders,6159,SIKKIM,India
Feb W3,STD,PC,NE,Verified Orders,9220,TRIPURA,India
Feb W4,COD,APP,NE,Verified Orders,34821,TRIPURA,India
Feb W4,COD,APP,TIER 1,Verified Orders,31119,ANDHRA PRADESH,India
Feb W4,COD,APP,TIER 1,Verified Orders,36013,GUJARAT,India
Feb W4,COD,APP,TIER 1,Verified Orders,30765,GUJARAT,India
